TEST-NAME 	:	 PASSED|FAILED
--------------------------------------
  	:	 FAILED
build 	:	 PASSED
basic 	:	 PASSED
nobusywait 	:	 PASSED
pool 	:	 PASSED
pool2 	:	 PASSED
single 	:	 PASSED
light 	:	 PASSED
locks 	:	 PASSED
locks2 	:	 PASSED
locks3 	:	 PASSED
locks4 	:	 PASSED
equal 	:	 PASSED
equal2 	:	 PASSED
equal3 	:	 PASSED
fewer 	:	 PASSED
fewer2 	:	 PASSED
fewer3 	:	 PASSED
drop_head 	:	 PASSED
drop_tail 	:	 PASSED
drop_random 	:	 FAILED
locks_hard 	:	 PASSED
stats_all_count 	:	 PASSED
stats_dynamic_count 	:	 PASSED
stats_static_count 	:	 PASSED
stats_distpatch_time 	:	 PASSED
block_flush 	:	 FAILED
dynamic_policy 	:	 FAILED
